priority_rank,hotspot_id,strip,severity_tier,risk_score,total_severity,max_severity,detection_count,hazard_diversity,dominant_class,dominant_class_severity,recommended_action,centroid_global_x,centroid_global_y,latitude,longitude,policy_basis,rationale
1,H001,sidescan-waterfall-strip,medium,0.4248,0.4248,0.4248,1,1,unknown,0.4248,Send for expert identification,2638.12,1483.82,,,configurable heuristic; not an official procedure,"Ranked 1 on a total severity of 0.4248 across 1 detection. The worst is 'unknown' at confidence 0.531 and class weight 0.8, giving severity 0.4248 and nothing else in the cell. Dominant class 'unknown' is severity-weighted, so it reflects consequence rather than headcount."
2,H002,sidescan-waterfall-strip,low,0.2917,0.2917,0.2917,1,1,shipwreck,0.2917,Flag navigation hazard,2132.22,1342.21,,,configurable heuristic; not an official procedure,"Ranked 2 on a total severity of 0.2917 across 1 detection. The worst is 'shipwreck' at confidence 0.4862 and class weight 0.6, giving severity 0.2917 and nothing else in the cell. Dominant class 'shipwreck' is severity-weighted, so it reflects consequence rather than headcount."
3,H003,sidescan-waterfall-strip,low,0.2462,0.2462,0.2462,1,1,shipwreck,0.2462,Flag navigation hazard,2086.86,2360.33,,,configurable heuristic; not an official procedure,"Ranked 3 on a total severity of 0.2462 across 1 detection. The worst is 'shipwreck' at confidence 0.4103 and class weight 0.6, giving severity 0.2462 and nothing else in the cell. Dominant class 'shipwreck' is severity-weighted, so it reflects consequence rather than headcount."
